Alder;Kvinder;Mænd;Kvinder_levetid;Mænd_levetid
0;0.00302799040210515;0.00313033075632574;0.0134562473042689;0.0162721602160805
1;0.000230742303285195;0.00015598761535958;0.109596362755045;0.0404270717600927
2;0.000150399006299509;0.00011699333047291;0.08356246019964;0.0332470980824555
3;0.000110466709192859;0.00011828584533229;0.0556515185331173;0.0701493387240884
4;0.000100867071021324;0.000101473963423535;0.0396087717187137;0.0712881143512022
5;0.0000859721734112653;0.0000913489227376174;0.0373084054205605;0.0657085517211756
6;0.0000682124630657753;0.0000841979425566517;0.0408099175806631;0.0625085562280044
7;0.0000594401167589388;0.0000782564730623084;0.0545952614228391;0.0626616900663272
8;0.0000547624568672979;0.0000696535616027768;0.0681912085447506;0.0634130286927559
9;0.0000535964410750458;0.0000660780225136397;0.0761903971489614;0.0612794839930701
10;0.0000580385982799583;0.0000653049199718413;0.0820498387505539;0.0615079287746491
11;0.0000649535999651783;0.0000640830023032932;0.0755210880273689;0.0621841993117896
12;0.0000726521873882628;0.0000686090689689295;0.064904973247023;0.0585323258025941
13;0.0000764289366718168;0.0000725296716804133;0.0583867573451091;0.0578797702958388
14;0.0000825093625669133;0.000080096524324542;0.0522168926096214;0.0582694321817101
15;0.000089878913019876;0.0000937694327222179;0.0452249244600388;0.0601654126986235
16;0.0000988112032549733;0.000120941803690057;0.0426489286972125;0.0585131296619725
17;0.000112423669847621;0.000164947301515847;0.0381211442381512;0.0572629882959231
18;0.000133739658540466;0.000218422038272349;0.0291186197005618;0.0551176428870129
19;0.000152520664818774;0.00028112571048441;0.0241804525653646;0.051415239309197
20;0.000172140668448248;0.000342644011080071;0.0201981730078095;0.0481669051953892
21;0.000192793047788392;0.000393570470368887;0.0178628979239736;0.0441312222028326
22;0.000206107582475188;0.000428515281293201;0.0177543671905424;0.0410835429065249
23;0.00020917402639015;0.000445855057355093;0.0188833743323459;0.0383855162957524
24;0.000207751960324083;0.00044079683233726;0.0209797792171055;0.0369486821702167
25;0.000196794096577273;0.000422601530706887;0.0209071915440469;0.0356746554071326
26;0.000177934361452976;0.000394675939124258;0.020537420440679;0.0344994653957327
27;0.000164903967087679;0.000363393040016323;0.0196043843714298;0.0337181121704643
28;0.000153062662880013;0.000346902184451681;0.017942950896561;0.0331293656427
29;0.000145883853892567;0.000336961754632265;0.0185433702370269;0.032617262459763
30;0.000148439742201647;0.000343117698703252;0.0189358505722173;0.0333769191323273
31;0.000162442713390528;0.000359691163168255;0.0195066080238599;0.0338539758788798
32;0.000179385132421321;0.000380893909527925;0.0216615296763187;0.0343588659443763
33;0.000199567972834679;0.00040592430708801;0.0238973068860304;0.0348347227978005
34;0.000222982139936443;0.000444522535527501;0.0257215766293947;0.034315995860999
35;0.000244235926364772;0.000492308251373322;0.0281557252071453;0.0329120614836875
36;0.000266578402420878;0.000539151040127689;0.029578306140361;0.0320687485921538
37;0.000291850668898496;0.000592566125277358;0.0290700678794493;0.0319586850222851
38;0.000327675909376061;0.000649289791983442;0.0286426840977761;0.0323524591233148
39;0.000371294192210104;0.000715438000792509;0.0284348031891238;0.0337109448007705
